--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.40 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.42 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.26 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.30 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.24 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.24 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.26 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.28 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.23 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.21 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.26 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.32 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.32 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.22 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.27 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.23 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.24 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.01 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.22 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.30 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.24 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.35 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.45 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.23 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.29 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.21 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.23 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.24 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: -0.00 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.29 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.27 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.21 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.29 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.22 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.26 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.23 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.33 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.34 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.23 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.01 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.32 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: -0.00 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.27 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: OFF
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.25 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.26 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.25 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.25 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.31 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.25 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
Temps d'exécution moyen: 177 us | Fréquence: 5649.7 Hz
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.25 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.30 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.29 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.37 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.26 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.31 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.31 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.37 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.07 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.09 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.21 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.19 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.24 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.44 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.50 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.01 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.08 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.00 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.21 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.01 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.22 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.34 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.17 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.20 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.11 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.05 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.35 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.16 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.04 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.22 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.14 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.15 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.06 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.12 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.13 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.03 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.27 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.29 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.31 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.33 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.18 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.41 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.02 V | PLASMA_PIN: HIGH | THC_OFF: ON
 V | Tension fast: 0.10 V | PLASMA_PIN: HIGH | THC_OFF: ON
